timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603289946009,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,339,0,17,613,null,0,0,0
1603289946009,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,338,0,17,613,null,0,0,0
1603289940573,5817,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-489,text,true,,12142,205,17,627,http://localhost:8085/users/read,5817,0,1040
1603289941564,6792,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-488,text,true,,12778,205,19,702,http://localhost:8085/users/read,6792,0,707
1603289944468,4119,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-494,text,true,,10891,205,20,710,http://localhost:8085/tasks/read,4119,0,0
1603289948587,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-494,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,20,710,http://localhost:8085/users/update/${user_id},0,0,0
1603289948588,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-494,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,20,710,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289948588,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-494,text,true,,338,0,20,710,null,0,0,0
1603289948588,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-494,text,true,,338,0,20,710,null,0,0,0
1603289944737,4107,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-493,text,true,,11294,205,20,720,http://localhost:8085/tasks/read,4107,0,0
1603289948844,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-493,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,20,720,http://localhost:8085/users/update/${user_id},0,0,0
1603289948845,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-493,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,20,720,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289948845,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-493,text,true,,339,0,20,720,null,0,0,0
1603289948845,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-493,text,true,,338,0,20,720,null,0,0,0
1603289945020,4373,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-491,text,true,,12366,205,20,740,http://localhost:8085/tasks/read,4373,0,0
1603289949393,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-491,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,20,740,http://localhost:8085/users/update/${user_id},0,0,0
1603289949394,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-491,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,20,740,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289949394,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-491,text,true,,339,0,20,740,null,0,0,0
1603289949395,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-491,text,true,,338,0,20,740,null,0,0,0
1603289945289,4179,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,12366,205,20,743,http://localhost:8085/tasks/read,4178,0,0
1603289949468,20,Update_Users,404,,Stress - jp@gc - Ultimate Thread Group 2-500,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",379,353,20,743,http://localhost:8085/users/update/43,20,0,0
1603289946009,3856,Post_Users,201,,Stress - jp@gc - Ultimate Thread Group 2-490,text,true,,390,354,21,759,http://localhost:8085/users/create,3856,0,0
1603289946391,3766,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-489,text,true,,13181,205,21,770,http://localhost:8085/tasks/read,3766,0,0
1603289950157,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-489,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,21,770,http://localhost:8085/users/update/${user_id},0,0,0
1603289950158,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-489,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,21,770,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289950158,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-489,text,true,,339,0,21,770,null,0,0,0
1603289950159,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-489,text,true,,337,0,21,770,null,0,0,0
1603289942813,8138,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-487,text,true,,19755,205,22,800,http://localhost:8085/users/read,8137,0,4013
1603289950951,9,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-487,text,true,,14262,205,22,800,http://localhost:8085/tasks/read,7,0,0
1603289950960,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-487,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,22,800,http://localhost:8085/users/update/${user_id},0,0,0
1603289950960,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-487,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,22,800,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289950961,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-487,text,true,,339,0,22,800,null,0,0,0
1603289950961,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-487,text,true,,338,0,22,800,null,0,0,0
1603289950961,26,Post_Users,201,,Stress - jp@gc - Ultimate Thread Group 2-487,text,true,,390,354,22,800,http://localhost:8085/users/create,26,0,0
1603289939329,12230,Post_Users,201,,Stress - jp@gc - Ultimate Thread Group 2-498,text,true,,390,354,22,822,http://localhost:8085/users/create,12230,0,0
1603289948357,3548,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-488,text,true,,15890,205,23,836,http://localhost:8085/tasks/read,3548,0,0
1603289951905,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-488,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,23,836,http://localhost:8085/users/update/${user_id},0,0,0
1603289951906,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-488,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,23,836,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289951906,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-488,text,true,,338,0,23,836,null,0,0,0
1603289951906,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-488,text,true,,337,0,23,836,null,0,0,0
1603289943563,9824,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-486,text,true,,21396,205,24,890,http://localhost:8085/users/read,9824,0,5425
1603289944565,10248,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-485,text,true,,21396,205,26,945,http://localhost:8085/users/read,10247,0,4456
1603289945563,14593,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-484,text,true,,21396,205,26,970,http://localhost:8085/users/read,14593,0,3609
1603289937564,22602,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-492,text,true,,21519,205,27,974,http://localhost:8085/users/read,22602,0,720
1603289949489,10679,Update_Tasks,404,,Stress - jp@gc - Ultimate Thread Group 2-500,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",379,385,27,974,http://localhost:8085/tasks/update/56,10679,0,0
1603289960169,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,397,0,27,974,null,0,0,0
1603289960169,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-500,text,true,,396,0,27,974,null,0,0,0
1603289954814,5447,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-485,text,true,,22139,205,27,974,http://localhost:8085/tasks/read,5447,0,0
1603289932787,27397,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-497,text,true,,20890,205,27,974,http://localhost:8085/users/read,27396,0,319
1603289960911,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-485,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,32,1174,http://localhost:8085/users/update/${user_id},0,0,0
1603289935795,24389,Post_Tasks,201,,Stress - jp@gc - Ultimate Thread Group 2-499,text,true,,396,380,27,974,http://localhost:8085/tasks/create,24389,0,0
1603289960911,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-485,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,32,1174,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289960912,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-485,text,true,,339,0,32,1174,null,0,0,0
1603289960912,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-485,text,true,,337,0,32,1174,null,0,0,0
1603289950988,9217,Post_Tasks,201,,Stress - jp@gc - Ultimate Thread Group 2-487,text,true,,396,380,27,974,http://localhost:8085/tasks/create,9217,0,0
1603289946563,13659,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-483,text,true,,20998,205,27,974,http://localhost:8085/users/read,13659,0,4569
1603289951560,8671,Post_Tasks,201,,Stress - jp@gc - Ultimate Thread Group 2-498,text,true,,396,380,27,974,http://localhost:8085/tasks/create,8671,0,0
1603289953387,6866,Get_Tasks,200,,Stress - jp@gc - Ultimate Thread Group 2-486,text,true,,21868,205,27,974,http://localhost:8085/tasks/read,6866,0,0
1603289960914,0,Update_Users,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/users/update/${user_id},Stress - jp@gc - Ultimate Thread Group 2-486,text,false,"Value expected to match regexp 'Joni', but it did not match: '[]'",1196,0,32,1174,http://localhost:8085/users/update/${user_id},0,0,0
1603289960915,0,Update_Tasks,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 36: http://localhost:8085/tasks/update/${task_id},Stress - jp@gc - Ultimate Thread Group 2-486,text,false,"Value expected to match regexp 'Hello People! we are coming for u', but it did not match: '[]'",1196,0,32,1174,http://localhost:8085/tasks/update/${task_id},0,0,0
1603289960915,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-486,text,true,,339,0,32,1174,null,0,0,0
1603289960916,0,Debug Sampler,200,OK,Stress - jp@gc - Ultimate Thread Group 2-486,text,true,,338,0,32,1174,null,0,0,0
1603289933563,26667,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-496,text,true,,20859,205,27,974,http://localhost:8085/users/read,26667,0,1092
1603289934564,25691,Get_Users,200,,Stress - jp@gc - Ultimate Thread Group 2-495,text,true,,20100,205,27,974,http://localhost:8085/users/read,25691,0,3306
